book
"the great transition, nick fuller googins"
"dark triumph, robin lafevers"
"blocked, seanan mcguire"
"the tartar steppe, dino buzzati"
"in love & pajamas, catana chetwynd"
"apprentice in death, j.d. robb"
"swamp thing, vol. 4, alan moore"
"the stupidest angel, christopher moore"
"more to life than this, carole matthews"
"cloud walking, a. meredith walters"
"the bitter kingdom, rae carson"
"the gods of mars, edgar rice burroughs"
"desperately seeking shapeshifter, jessica sims"
"the viper's nest, peter lerangis"
"i love this part, tillie walden"
"transmetropolitan, vol. 6, warren ellis"
"magic on the line, devon monk"
"trial by fire, jennifer lynn barnes"
"shadow woman, linda howard"
"numbers, laurann dohner"
"fracture, callie hart"
"little knife, leigh bardugo"
"another view, rosamunde pilcher"
"the bigfoot blunder, amanda m. lee"
"rowdy, jay crownover"
"mystic summer, hannah mckinnon"
"wildwood, colin meloy"
"pink, lili wilkinson"
"the lacemaker, laura frantz"
"seveneves, neal stephenson"
"adam's fall, sandra brown"
"ember, bettie sharpe"
"deadly promises, sherrilyn kenyon"
"trono de cristal, sarah j. maas"
"how to break a dragon's heart, cressida cowell"
"never sweeter, charlotte stein"
"the girl in between, laekan zea kemp"
"der vorleser, bernhard schlink"
"dark domination, lili valente"
"el bosque de los pigmeos, isabel allende"
"the damnation game, clive barker"
"tot., stephen king"
"grimm's fairy tales, jacob grimm"
"storm, brigid kemmerer"
"the lullaby sky, carolyn brown"
"a man of means, diana palmer"
"constance, matthew fitzsimmons"
"suddenly one summer, julie james"
"cart and cwidder, diana wynne jones"
"the rising, brian keene"
"phantom thief jeanne, vol. 1, arina tanemura"
"beguiled, joanna chambers"
"eighth grade bites, heather brewer"
"wintersteel, will wight"
"ashley bell, dean koontz"
"the inheritance, robin hobb"
"a kingdom besieged, raymond e. feist"
"the stardust thief, chelsea abdullah"
"the hunchback assignments, arthur slade"
"the ruin of a rake, cat sebastian"
"pennies, pepper winters"
"playing patience, tabatha vargo"
"take a hint, dani brown, talia hibbert"
"the cold calling, will kingdom"
"the watson brothers, lori foster"
"blind obsession, ella frank"
"the silent gondoliers, william goldman"
"falling home, karen white"
"the foxhole court, nora sakavic"
"hold my hand, durjoy datta"
"the unit, ninni holmqvist"
"thief trap, jonathan moeller"
"the outcasts, john flanagan"
"genghis, conn iggulden"
"once burned, sam mariano"
"sogno di una notte di mezza estate, william shakespeare"
"guardian of the gate, michelle zink"
"arrival, ted chiang"
"arm of the sphinx, josiah bancroft"
"homeland, john jakes"
"insane city, dave barry"
"give me strength, kate mccarthy"
"tulip fever, deborah moggach"
"here's to falling, christine zolendz"
"the tale of mrs. tittlemouse, beatrix potter"
"the master magician, charlie n. holmberg"
"firestarter, stephen king"
"hounded, kevin hearne"
"evolution, kelly carrero"
"relationship goals, christina c. jones"
"durch einen spiegel, in einem dunklen wort, jostein gaarder"
"sky full of elephants, cebo campbell"
"last hit, jessica clare"
"only enchanting, mary balogh"
"d.gray-man, vol. 2, katsura hoshino"
"the wolf and the woodsman, ava reid"
"tom's midnight garden, philippa pearce"
"long division, kiese laymon"
"a case of spirits, k.j. charles"
"city of a thousand dolls, miriam forster"
"the portable veblen, elizabeth mckenzie"
"because i'm worth it, cecily von ziegesar"
"blood of hercules, jasmine mas"
"the trouble with goodbye, sarra cannon"
"stranded, dani pettrey"
"the passion of new eve, angela carter"
"vampires don't wear polka dots, debbie dadey"
"a million suns, beth revis"
"all the ugly and wonderful things, bryn greenwood"
"in the service of the king, laura kaye"
"visions of heat, nalini singh"
"death, and the girl he loves, darynda jones"
"crazy for you, jennifer crusie"
"bulfinch's mythology, thomas bulfinch"
"whispers at moonrise, c.c. hunter"
"dawn in eclipse bay, jayne ann krentz"
"the bird and the sword, amy harmon"
"lost souls, dean koontz"
"the young queens, kendare blake"
"destined, brenda k. davies"
"the poppy war, r.f. kuang"
"mickey7, edward ashton"
"first grave on the right, darynda jones"
"the declaration, gemma malley"
"never lie to a lady, liz carlyle"
"a promise of peridot, kate golden"
"radiance, alyson noel"
"doctor strange, vol. 2, jason aaron"
"after truth, anna todd"
"fatal affair, marie force"
"in fury born (1), david weber"
"the price of a bride, michelle reid"
"the bookseller, cynthia swanson"
"rapture, j.r. ward"
"the statistical probability of love at first sight, jennifer e. smith"
"neuromancer, william gibson"
"until june, aurora rose reynolds"
"love like this, sophie love"
"tiger by the tail, jessica sims"
"dragon's keep, janet lee carey"
"mortal heart, robin lafevers"
"stealing grace, shelly crane"
"the bridgertons, julia quinn"
"squeeze play, kate angell"
"just look up, courtney walsh"
"prudence, gail carriger"
"owls well that ends well, donna andrews"
"the snow child, eowyn ivey"
"falling for you, jill mansell"
"one door away from heaven, dean koontz"
"regretting you, colleen hoover"
"mr. happy, roger hargreaves"
"my teacher flunked the planet, bruce coville"
"beyond the valley of thorns, patrick carman"
"when maidens mourn, c.s. harris"
"zodiac, romina russell"
"tapping the billionaire, max monroe"
"the scarlet dragon, jordan quinn"
"dread brass shadows, glen cook"
"dreaming awake, gwen hayes"
"just a bit wicked, alessandra hazard"
"moonlight shadow, banana yoshimoto"
"q, evan mandery"
"three weeks with my brother, nicholas sparks"
"hex, thomas olde heuvelt"
"liberating lacey, anne calhoun"
"the prefect, alastair reynolds"
"frostbite, richelle mead"
"a ​sky beyond the storm, sabaa tahir"
"the affinity bridge, george mann"
"free four, veronica roth"
"shade of the tree, piers anthony"
"flint, louis l'amour"
"the tycoon's proposal, melody anne"
"army of one, b.v. larson"
"bleak seasons, glen cook"
"fates and furies, lauren groff"
"to green angel tower, part 2, tad williams"
"i'd tell you i love you, but then i'd have to kill you, ally carter"
"dirty ties, pam godwin"
"starman jones, robert a. heinlein"
"outcast, erin hunter"
"unshapely things, mark del franco"
"a dowry of blood, s.t. gibson"
"the dating plan, sara desai"
"malowany człowiek. księga i, peter v. brett"
"the substitute bridegroom, charlotte louise dolan"
"the boyfriend app, katie sise"
"the secret tree, natalie standiford"
"nowhere but here, katie mcgarry"
"sulwe, lupita nyong'o"
"his human rebel, renee rose"
"reality 36, guy haley"
"the sisterhood, helen bryan"
"miles morales, jason reynolds"
"heredera de fuego, sarah j. maas"
"the ones who got away, roni loren"
"stay, emily goodwin"
"simply unforgettable, mary balogh"
"uninvited, sophie jordan"
"the second mango, shira glassman"
"the black circle, patrick carman"
"grim tidings, amanda m. lee"
"till death, jennifer l. armentrout"
"the importance of being iceland, eileen myles"
"green city in the sun, barbara wood"
"clash, nicole williams"
"swords in the mist, fritz leiber"
"upside-down magic, sarah mlynowski"
"magician's end, raymond e. feist"
"the ship who searched, anne mccaffrey"
"powder and patch, georgette heyer"
"a crown imperiled, raymond e. feist"
"the remaining, d.j. molles"
"the goddess test, aimee carter"
"price of a kiss, linda kage"
"nobody but you, jill shalvis"
"dance of thieves, mary e. pearson"
"evil eclairs, jessica beck"
"the business, iain banks"
"the bright lands, john fram"
"a beautiful lie, t.e. sivec"
"the memoirs of a survivor, doris lessing"
"an unwavering trust, l.l. diamond"
"stone cold touch, jennifer l. armentrout"
"the death of chaos, l.e. modesitt jr."
"thor, akira yoshida"
"fixing delilah, sarah ockler"
"wicked beautiful, j.t. geissinger"
"trouble never sleeps, stephanie tromly"
"1225 christmas tree lane, debbie macomber"
"a shadow of light, bella forrest"
"sea of silver light, tad williams"
"a beautiful wedding, jamie mcguire"
"cita con rama, arthur c. clarke"
"viaggio al centro della terra, jules verne"
"el caballero de los siete reinos, george r.r. martin"
"comfort me with apples, catherynne m. valente"
"touching darkness, scott westerfeld"
"fuzzy mud, louis sachar"
"el ojo del mundo, robert jordan"
"the other side, alfred kubin"
"home for the holidays, jeaniene frost"
"leave the window open, victoria schwab"
"wild irish eyes, tricia o'malley"
"falling, jane green"
"the wurms of blearmouth, steven erikson"
"five children and it, e. nesbit"
"sweet temptation, cora reilly"
"marrow, tarryn fisher"
"street magic, tamora pierce"
"rise of the governor, robert kirkman"
"jane, unlimited, kristin cashore"
"that wolf-boy is mine!, vol. 1, yoko nogiri"
"ashes of midnight, lara adrian"
"the second generation, margaret weis"
"forest of the pygmies, isabel allende"
"the enchanted, rene denfeld"
"the blinds, adam sternbergh"
"the uninvited guests, sadie jones"
"howl and other poems, allen ginsberg"
"lover at last, j.r. ward"
"imitation and alchemy, elizabeth hunter"
"killing time, della van hise"
"house of dark shadows, robert liparulo"
"raised in fire, k.f. breene"
"a dark lure, loreth anne white"
"krew elfów, andrzej sapkowski"
"one to watch, kate stayman-london"
"hester, laurie lico albanese"
"the truth about magic, atticus poetry"
"stories of your life and others, ted chiang"
"marvel masterworks, stan lee"
"fighting seduction, claire adams"
"the complete tales and poems of winnie-the-pooh, a.a. milne"
"bec, darren shan"
"stoneheart, charlie fletcher"
"it's in his kiss, julia quinn"
"10 dates, emily james"
"driftwood, cathy cassidy"
"look to windward, iain m. banks"
"kiss me at the stroke of midnight, vol. 1, rin mikimoto"
"anger is a gift, mark oshiro"
"kaleidoscope hearts, claire contreras"
"contact, carl sagan"
"wayward son, rainbow rowell"
"ein bild von dir, jojo moyes"
"reached, ally condie"
"magic dreams, ilona andrews"
"the rake, mary jo putney"
"the store, bentley little"
"a sound of thunder and other stories, ray bradbury"
"mad lizard mambo, rhys ford"
"the doomsday conspiracy, sidney sheldon"
"stay, allie larkin"
"because it is my blood, gabrielle zevin"
"we3, grant morrison"
"the silver swan, amo jones"
"fallen angels, larry niven"
"the cosy teashop in the castle, caroline roberts"
"wild irish witch, tricia o'malley"
"house of chains, steven erikson"
"savor you, emily snow"
"system collapse, martha wells"
"other birds, sarah addison allen"
"steel scars, victoria aveyard"
"broken prince, erin watt"
"the nonesuch, georgette heyer"
"my guardian, alanea alder"
"the selfish giant, oscar wilde"
"beneath the dark ice, greig beck"
"ali's pretty little lies, sara shepard"
"shattered, kevin hearne"
"thicker than water, mike carey"
"blood solstice, samantha young"
"love in a small town, zoe york"
"whiskey island, emilie richards"
"the scorch trials, james dashner"
"glitch, heather anastasiu"
"duty and desire, pamela aidan"
"beast master, vol. 1, kyousuke motomi"
"bloodline, claudia gray"
"one piece, volume 37, eiichiro oda"
"dark in death, j.d. robb"
"hallowed ground, rebecca yarros"
"thunderclaw, penelope fletcher"
"peter and the secret of rundoon, dave barry"
"walking back to happiness, lucy dillon"
"midnight in austenland, shannon hale"
"dirty, kylie scott"
"hawthorne & heathcliff, r.k. ryals"
"highlander untamed, monica mccarty"
"honor student, teresa mummert"
"corte de espinhos e rosas, sarah j. maas"
"passage to dawn, r.a. salvatore"
"choosing you, allie everhart"
"fairest of all, serena valentino"
"set this house in order, matt ruff"
"distracted, alexandra warren"
"the wishing game, meg shaffer"
"all you zombies and other stories, robert a. heinlein"
"blood type, k.a. linde"
"interstellar, greg keyes"
"the little red caboose, marian potter"
"thirsty, tracey bateman"
"deep down true, juliette fay"
"the centurion's wife, davis bunn"
"arcanum unbounded, brandon sanderson"
"left to die, lisa jackson"
"the riddle-master of hed, patricia a. mckillip"
"nightblood, elly blake"
"something blue, emily giffin"
"insurrection, thomas m. reid"
"crashed, k. bromberg"
"rat queens, vol. 2, kurtis j. wiebe"
"stepbrother dearest, penelope ward"
"trickery, jaymin eve"
"the house of the spirits, isabel allende"
"sidney sheldon's the tides of memory, tilly bagshawe"
"mio, my son, astrid lindgren"
"graveyard shift, angela roquet"
"spirit's end, rachel aaron"
"ricochet, sandra brown"
"blue moon, alyson noel"
"domain, james herbert"
"four past midnight, stephen king"
"the cat in the hat, dr. seuss"
"jinx's magic, sage blackwood"
"the sleeper and the spindle, neil gaiman"
"styxx, sherrilyn kenyon"
"bang bang, rachel van dyken"
"for she is wrath, emily varga"
"the solitary envoy, t. davis bunn"
"deadly quicksilver lies, glen cook"
"fire & flood, victoria scott"
"first light, rebecca stead"
"the end of october, lawrence wright"
"acts of violets, kate collins"
"morgawr, terry brooks"
"lady of milkweed manor, julie klassen"
"slightly dangerous, mary balogh"
"luces del norte, philip pullman"
"finding cinderella, colleen hoover"
"we are all made of stars, rowan coleman"
"angelina ballerina, katharine holabird"
"my double life, janette rallison"
"the winter long, seanan mcguire"
"maldito karma, david safier"
"the witch's heart, genevieve gornichec"
"eat slay love, jesse petersen"
"the adoration of jenna fox, mary e. pearson"
"revenge of the living dummy, r.l. stine"
"exposed, kyra davis"
"the queen of the damned, anne rice"
"soundless, richelle mead"
"a demon's dark embrace, amelia hutchins"
"the dragon keeper, robin hobb"
"the return of the shadow, j.r.r. tolkien"
"sapphire flames, ilona andrews"
"poison study, maria v. snyder"
"into the light, aleatha romig"
"the fever code, james dashner"
"lovecraft country, matt ruff"
"sweet salt air, barbara delinsky"
"talking it over, julian barnes"
"mistborn, brandon sanderson"
"the cafe by the sea, jenny colgan"
"les fiancés de l'hiver, christelle dabos"
"summerland, elin hilderbrand"
"dragonsdawn, anne mccaffrey"
"saving grace, christine zolendz"
"black ops, craig alanson"
"neogenesis, sharon lee"
"fated love, radclyffe"
"tank girl 2, alan c. martin"
"the shadowlands, emily rodda"
"sandry's book, tamora pierce"
"natsume's book of friends, volume 1, yuki midorikawa"
"indigo blue, cathy cassidy"
"love, life, and the list, kasie west"
